Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-30 09:57:05.984000,7d,Toxicity,Original,,191.60125732421875,0.19111469388008118,36.61781692504883,1.5453226566314697,1.365723729133606,0.21125636994838715,11.153897285461426,2.8110153675079346,2.78971004486084,0.1332741230726242,0.17987623810768127,0.16432622075080872,6.049025058746338,0,0.07775988429784775,9.706656455993652,26.43767547607422,37,25,30,75,
2025-12-30 09:57:05.984000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:11.984000,7d,Toxicity,Original,,265.90045166015625,0.15596188604831696,41.4703369140625,1.3167343139648438,1.4308991432189941,0.31278398633003235,11.153897285461426,3.1769282817840576,2.805593252182007,0.09137038141489029,0.13427798449993134,0.24093063175678253,10.525439262390137,35.66023254394531,0.0569775253534317,18.101062774658203,36.51340866088867,37,25,30,87.5,
2025-12-30 09:57:11.984000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:13.984000,7d,Toxicity,Original,,49.914676666259766,1.3822623491287231,68.99517822265625,0.640486478805542,0.988828182220459,0.5099616646766663,11.153897285461426,5.355757236480713,2.324342727661133,0.4804283678531647,0.721622884273529,0.036531299352645874,8.920004844665527,110.99213409423828,0.36902734637260437,,,37,25,30,0,
2025-12-30 09:57:17.984000,7d,Toxicity,Original,,259.9414367675781,0.15905046463012695,41.343807220458984,0.8047627806663513,0.7738490104675293,0.5776723027229309,11.153897285461426,2.2113213539123535,2.333296298980713,0.11310742795467377,0.1177137941122055,0.19989868998527527,5.407194137573242,0,0.06752638518810272,12.48412799835205,16.610166549682617,37,25,30,85.71428680419922,
2025-12-30 09:57:17.984000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:21.984000,7d,Toxicity,Original,,23.437904357910156,1.5208176374435425,35.644779205322266,2.982569456100464,4.6529035568237305,0.35611721873283386,11.153897285461426,8.482704162597656,5.1283183097839355,0.43705934286117554,2.122896671295166,0.45847901701927185,36.997806549072266,1022.9188232421875,0.39874860644340515,7.069444179534912,,37,25,30,83.33333587646484,
2025-12-30 09:57:21.984000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:23.984000,7d,Toxicity,Original,,190.25396728515625,0.1666458696126938,30.827495574951172,0.6554462909698486,1.1039886474609375,0.2800056040287018,11.153897285461426,2.2002830505371094,1.2461251020431519,0.1318753957748413,0.18754638731479645,0.09452030062675476,6.270371437072754,23.67571449279785,0.08962774276733398,3.027345895767212,10.3568696975708,37,25,30,42.85714340209961,
2025-12-30 09:57:25.984000,7d,Toxicity,Original,,162.08734130859375,0.11339753866195679,18.499412536621094,0.25277960300445557,0.4398018717765808,0.5071523189544678,11.153897285461426,1.7729439735412598,1.0632755756378174,0.10892947018146515,0.2693995237350464,0.04170738160610199,6.3152875900268555,114.25704956054688,0.18666259944438934,1.8645894527435303,5.998885631561279,37,25,30,71.42857360839844,
2025-12-30 09:57:27.984000,7d,Toxicity,Original,,121.20603942871094,0.12759314477443695,14.548172950744629,4.696883678436279,5.365999221801758,0.0859365314245224,11.153897285461426,1.6290183067321777,1.1786417961120605,0.13241291046142578,0.4046395421028137,0.0950760543346405,4.053328514099121,255.61029052734375,0.06388863921165466,4.030974388122559,51.79313278198242,37,25,30,50,
2025-12-30 09:57:27.984000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:31.984000,7d,Toxicity,Original,,155.8928985595703,0.6229215860366821,97.10905456542969,0.6431620717048645,0.8558535575866699,0.384220689535141,11.153897285461426,5.235227584838867,3.4498209953308105,0.22871936857700348,0.15616025030612946,0.307467520236969,10.992860794067383,0,0.08729016035795212,10.684009552001953,24.233036041259766,37,25,30,83.33333587646484,
2025-12-30 09:57:31.984000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:35.984000,7d,Toxicity,Original,,159.81304931640625,0.13837814331054688,22.08454132080078,3.9167003631591797,3.7321553230285645,0.15193696320056915,11.153897285461426,1.895906925201416,1.7594821453094482,0.13481201231479645,0.24403762817382812,0.14261263608932495,3.829802989959717,144.48190307617188,0.05281377583742142,6.7349958419799805,45.81813430786133,37,25,30,75,
2025-12-30 09:57:37.984000,7d,Toxicity,Original,,185.38665771484375,0.10869260132312775,20.150157928466797,2.304673671722412,3.1550769805908203,0.1551586389541626,11.153897285461426,1.783037543296814,1.269411325454712,0.10451731830835342,0.21913057565689087,0.10720746219158173,4.550930500030518,146.88291931152344,0.05311599746346474,,,37,25,30,50,
2025-12-30 09:57:39.984000,7d,Toxicity,Original,,253.1632537841797,0.16261346638202667,41.167755126953125,0.616533100605011,0.8142126202583313,0.49921971559524536,11.153897285461426,2.3465688228607178,1.7627540826797485,0.11280740797519684,0.12419380992650986,0.15656527876853943,6.215729713439941,0,0.06972625851631165,13.037405014038086,18.648353576660156,37,25,30,85.71428680419922,
2025-12-30 09:57:39.984000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:41.984000,7d,Toxicity,Original,,295.0813903808594,0.28639155626296997,84.50881958007812,0.6398953795433044,0.824277400970459,0.45125406980514526,11.153897285461426,3.3564043045043945,2.6300644874572754,0.11469187587499619,0.08864185959100723,0.23503388464450836,6.370853424072266,0,0.049750857055187225,14.479581832885742,22.628803253173828,37,25,30,75,
2025-12-30 09:57:41.984000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:43.984000,7d,Toxicity,Original,,61.0972900390625,0.5529419779777527,33.78325653076172,0.5739280581474304,0.9784698486328125,0.8711504936218262,11.153897285461426,2.9397027492523193,1.738754153251648,0.3759452700614929,0.606095016002655,0.12220252305269241,92.61344146728516,0,0.3125119209289551,8.173457145690918,14.138811111450195,37,25,30,66.66666412353516,
2025-12-30 09:57:45.984000,7d,Toxicity,Original,,243.3495330810547,0.16256307065486908,39.55964660644531,0.3031293451786041,0.6109856963157654,0.7162889242172241,11.153897285461426,2.297203779220581,1.2143877744674683,0.12649564445018768,0.12006328999996185,0.09355182200670242,11.026827812194824,0,0.07677634060382843,19.526309967041016,17.656532287597656,37,25,30,50,
2025-12-30 09:57:51.984000,7d,Toxicity,Original,,236.18238830566406,0.18522197008132935,43.74616622924805,0.47869545221328735,0.9689319729804993,0.39107421040534973,11.153897285461426,2.5531599521636963,1.2139489650726318,0.11595974862575531,0.13808120787143707,0.10736948996782303,5.831782817840576,0,0.0712578222155571,12.23793888092041,16.26576042175293,37,25,30,92.85713958740234,
2025-12-30 09:57:51.984000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:51.984000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:53.984000,7d,Toxicity,Original,,109.6728515625,0.408385306596756,44.78878402709961,0.4585718512535095,0.5690233707427979,0.7591586709022522,11.153897285461426,4.054760456085205,3.4163920879364014,0.19932821393013,0.3477533757686615,0.26634013652801514,8.645073890686035,43.713539123535156,0.22426925599575043,20.273622512817383,12.134610176086426,37,25,30,66.66666412353516,
2025-12-30 09:57:55.984000,7d,Toxicity,Original,,237.20498657226562,0.1591811180114746,37.7585563659668,1.1693364381790161,0.9466453194618225,0.7549855709075928,11.153897285461426,2.356809377670288,3.06453275680542,0.1337382048368454,0.11920757591724396,0.200880229473114,11.014978408813477,22.53795051574707,0.0623263418674469,14.020203590393066,,37,25,30,80,
2025-12-30 09:57:57.984000,7d,Toxicity,Original,,176.10154724121094,0.11904306709766388,20.963668823242188,3.674936056137085,3.333442211151123,0.22456495463848114,11.153897285461426,2.060978412628174,2.0903780460357666,0.10024756193161011,0.2404649406671524,0.18723295629024506,4.575441837310791,130.3011474609375,0.05608716979622841,9.113332748413086,50.50859451293945,37,25,30,75,
2025-12-30 09:57:57.984000,Measuring Baseline.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:57.984000,Create measurement 'Baseline'. Duration: 00:07:02.0392337,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 09:57:57.984000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
