Group,Subject_Number,Subject,Timepoint,Elapsed_Minutes,Source_Sheet,Date,Time,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
a,2,2a,2.5,2.5057,2a_WBPth,2025-12-17,09:25:20.996000,Toxicity,Original,,84.34586334228516,2.066005229949951,174.33863830566406,1.0805156230926514,1.0972511768341064,0.3116514086723327,11.153897285461426,9.132551193237305,8.661234855651855,0.3340621292591095,0.3797958791255951,0.7052764892578125,8.955825805664062,14.127156257629396,0.1863921731710434,7.381927967071533,19.61287307739257,37.0,25.0,30.0,25.0,
a,3,3a,2.5,2.51385,3a_WBPth,2025-12-17,09:30:36.817000,Toxicity,Original,,72.75003051757812,3.106218814849853,225.9659423828125,0.8096427917480469,0.997130572795868,0.135231927037239,11.153897285461426,15.698010444641112,8.538431167602539,0.3232650756835937,0.5014781355857849,0.6317368149757385,6.802012920379639,0.0,0.2560378313064575,3.2273271083831787,18.10489273071289,37.0,25.0,30.0,0.0,
a,4,4a,2.5,2.4769333333333337,4a_WBPth,2025-12-17,09:43:15.019000,Toxicity,Original,,49.35561752319336,2.7234129905700684,134.4157257080078,1.7182486057281494,1.5363699197769165,0.1040694862604141,11.153897285461426,9.610326766967772,8.46062183380127,0.5430396199226379,0.6726275086402893,0.6746615767478943,12.69593620300293,0.0,0.2841854691505432,8.024724006652832,16.741859436035156,37.0,25.0,30.0,75.0,
a,5,5a,2.5,2.489683333333333,5a_WBPth,2025-12-17,09:39:57.275000,Toxicity,Original,,60.39524841308594,2.293275594711304,138.48045349121094,1.4240374565124512,1.4215033054351809,0.2561183869838714,11.153897285461426,9.237241744995115,7.4741668701171875,0.4688998460769653,0.5246185660362244,0.5340179800987244,13.630327224731444,0.0,0.2254195511341095,13.15139389038086,24.325517654418945,37.0,25.0,30.0,0.0,
a,6,6a,2.5,2.4846,6a_WBPth,2025-12-17,09:46:26.135000,Toxicity,Original,,54.07243728637695,2.665960788726806,144.15499877929688,0.4480476677417755,0.7977957129478455,0.6083480715751648,11.153897285461426,10.56418800354004,6.057167530059815,0.4455291032791137,0.6640934944152832,0.4162834882736206,24.408769607543945,0.0,0.3835216164588928,7.222200393676758,8.642627716064453,37.0,25.0,30.0,66.66666412353516,
a,7,7a,2.5,2.485316666666667,7a_WBPth,2025-12-17,09:53:44.729000,Toxicity,Original,,54.63402938842773,2.762778282165528,150.94171142578125,1.2617086172103882,1.4663487672805786,0.3637306094169616,11.153897285461426,11.57423973083496,6.686192512512207,0.4658804833889007,0.6323361396789551,0.5606135725975037,7.404598712921143,0.0,0.2620848715305328,2.343066692352295,18.823673248291016,37.0,25.0,30.0,0.0,
a,2,2a,4.8,4.8057,2a_WBPth,2025-12-17,09:27:38.996000,Toxicity,Original,,90.62403106689452,2.4972245693206787,224.244369506836,0.5919589996337891,0.6195350289344788,0.6522446870803833,11.153897285461426,12.413609504699709,13.034187316894531,0.3550025820732116,0.3115683794021606,0.9964038729667664,16.013031005859375,0.0,0.2099350541830063,14.30842113494873,11.56769847869873,37.0,25.0,30.0,0.0,
a,3,3a,4.8,4.81385,3a_WBPth,2025-12-17,09:32:54.817000,Toxicity,Original,,88.37578582763672,3.22770357131958,285.180419921875,0.7951294183731079,0.9744493961334229,0.3131906986236572,11.153897285461426,15.589311599731444,10.639233589172363,0.3009353876113891,0.3781136572360992,0.8980254530906677,5.635545253753662,0.0,0.1954871863126754,4.098148345947266,16.663970947265625,37.0,25.0,30.0,0.0,
a,4,4a,4.8,4.81025,4a_WBPth,2025-12-17,09:45:35.018000,Toxicity,Original,,69.4296875,2.5851404666900635,179.47219848632812,1.0477080345153809,1.115234136581421,0.5275081992149353,11.153897285461426,10.637411117553713,9.025691032409668,0.4081119298934936,0.4563901126384735,0.6826484799385071,14.824371337890623,0.0,0.2267929315567016,10.612778663635254,21.614334106445312,37.0,25.0,30.0,0.0,
a,5,5a,4.8,4.789683333333333,5a_WBPth,2025-12-17,09:42:15.275000,Toxicity,Original,,71.08432006835938,2.6628570556640625,189.29296875,0.8486135005950928,1.003091812133789,0.4323322772979736,11.153897285461426,10.839948654174805,8.299407005310059,0.4460609257221222,0.3980087637901306,0.6708781123161316,7.824167251586914,0.0,0.2056070566177368,10.822681427001951,17.43927001953125,37.0,25.0,30.0,0.0,
a,6,6a,4.8,4.7846,6a_WBPth,2025-12-17,09:48:44.135000,Toxicity,Original,,77.44935607910156,2.4598817825317383,190.5835876464844,0.7936216592788696,0.7077811360359192,0.6335062384605408,11.153897285461426,8.87080192565918,9.924983024597168,0.431951642036438,0.3428164720535278,0.86322021484375,15.925545692443848,0.0,0.2177779972553253,13.692587852478027,13.122228622436523,37.0,25.0,30.0,0.0,
