Parameter,Group,Subject,Timepoint,Value,Group_Mean,Group_SD,Deviation_SD
EEP,a,9a,2.5,431.157958984375,22.257707357406616,84.58526901078436,4.834178059714333
Te,a,9a,2.5,1.7379639148712158,0.4791190837110792,0.2870316400568973,4.385735422445414
EEP,b,4b,2.5,252.98599243164065,17.85733027117593,53.941928944351325,4.3589220252585505
EIP,b,9b,2.5,119.62641143798828,14.895953399794442,22.27581281010689,4.701532506624225
Te,b,9b,2.5,1.101152777671814,0.3737984001636505,0.17663544817087515,4.117827905101636
Tr,b,9b,2.5,0.5437176823616028,0.189801259498511,0.07665423417494374,4.617049882141772
EEP,c,5c,2.5,919.8308715820312,68.85637867450714,183.5331794508825,4.636624807860769
Penh,c,5c,4.8,8.982824325561523,1.6744121573865414,1.5685292835254447,4.659404350901571
PAU,d,3d,2.5,4.126351356506348,1.3243630295619369,0.6752699523471863,4.149434336897288
Te,d,3d,2.5,2.012032985687256,0.5469203451648355,0.3281003544707111,4.465440590230171
