Parameter,A vs B,A vs C,A vs D,A vs E,B vs C,B vs D,B vs E,C vs D,C vs E,D vs E
f,0.2311 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns
TVb,0.6166 ns,0.0000 ***,1.0000 ns,1.0000 ns,0.2831 ns,1.0000 ns,1.0000 ns,0.1100 ns,0.3395 ns,1.0000 ns
MVb,1.0000 ns,0.0093 **,0.0278 *,0.0428 *,0.0504 ns,0.1445 ns,0.2767 ns,1.0000 ns,1.0000 ns,1.0000 ns
Penh,1.0000 ns,0.2847 ns,0.5560 ns,1.0000 ns,0.3638 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns
PAU,1.0000 ns,0.1442 ns,0.5231 ns,0.1547 ns,0.1894 ns,0.8856 ns,0.3232 ns,1.0000 ns,1.0000 ns,1.0000 ns
Rpef,1.0000 ns,0.0113 *,1.0000 ns,1.0000 ns,0.0398 *,1.0000 ns,1.0000 ns,0.4459 ns,0.1596 ns,1.0000 ns
Comp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIFb,1.0000 ns,0.0301 *,1.0000 ns,1.0000 ns,0.4790 ns,1.0000 ns,1.0000 ns,1.0000 ns,0.5518 ns,1.0000 ns
PEFb,1.0000 ns,0.0033 **,0.0696 ns,0.0275 *,0.0533 ns,0.5243 ns,0.2365 ns,1.0000 ns,1.0000 ns,1.0000 ns
Ti,0.0362 *,0.4789 ns,1.0000 ns,1.0000 ns,1.0000 ns,0.1008 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns
Te,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,0.5878 ns,0.1558 ns,0.0230 *,1.0000 ns,0.9811 ns,1.0000 ns
EF50,1.0000 ns,0.0024 **,0.0446 *,0.0040 **,0.0447 *,0.3829 ns,0.0850 ns,1.0000 ns,1.0000 ns,0.8126 ns
EIP,1.0000 ns,1.0000 ns,1.0000 ns,0.1276 ns,1.0000 ns,1.0000 ns,0.9992 ns,1.0000 ns,0.0679 ns,0.2161 ns
EEP,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns,0.4137 ns,1.0000 ns,1.0000 ns,1.0000 ns,1.0000 ns
Tr,0.3081 ns,0.2563 ns,1.0000 ns,1.0000 ns,1.0000 ns,0.2356 ns,0.2733 ns,0.1951 ns,0.1971 ns,1.0000 ns
TB,1.0000 ns,1.0000 ns,0.1019 ns,1.0000 ns,1.0000 ns,0.0702 ns,1.0000 ns,1.0000 ns,1.0000 ns,0.7746 ns
TP,1.0000 ns,0.0683 ns,0.0480 *,0.0416 *,1.0000 ns,0.9179 ns,0.7046 ns,1.0000 ns,1.0000 ns,1.0000 ns
Tbody,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rinx,1.0000 ns,1.0000 ns,0.1561 ns,0.0000 ***,0.3813 ns,0.0255 *,0.0000 ***,1.0000 ns,0.0247 *,0.1017 ns
