Date,Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-17,11:18:16.997000,Measuring antidote.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,Create measurement 'antidote'. Duration: 00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,Site Acknowledgement Changed: False,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 10499C]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 10499C]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:18:16.997000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:14.484000,9b,Toxicity,Original,,29.58123779296875,1.9632720947265625,58.076019287109375,0.6341477036476135,1.0435198545455933,0.1793194562196731,11.153897285461426,7.909027099609375,3.8763906955718994,0.5226200222969055,1.505692720413208,0.1610805094242096,18.5361328125,1121.692138671875,0.7779170870780945,0.1109749004244804,40.24910354614258,37.0,25.0,30.0,92.85713958740234,
2025-12-17,11:19:14.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:16.484000,9b,Toxicity,Original,,195.8510589599609,0.1980322301387787,38.78482055664063,0.4814869165420532,0.6538649201393127,0.3801538348197937,11.153897285461426,1.673107028007507,1.196858048439026,0.1958736628293991,0.1104815900325775,0.1017183810472488,6.468558311462402,0.0,0.0686531588435173,11.859345436096191,11.005084991455078,37.0,25.0,30.0,75.0,
2025-12-17,11:19:16.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:16.484000,Measuring T30.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:16.484000,Create measurement 'T30'. Duration: 00:29:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:16.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:16.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:34.484000,9b,Toxicity,Original,,160.74661254882812,0.1040287613868713,16.722270965576172,1.1193042993545532,0.6733165979385376,0.4958395659923553,11.153897285461426,0.9235020875930786,1.4613522291183472,0.2320835590362548,0.1411746889352798,0.1305891126394271,8.261300086975098,0.0,0.0874389111995697,12.626188278198242,8.929682731628418,37.0,25.0,30.0,95.65217590332033,
2025-12-17,11:19:34.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:36.484000,9b,Toxicity,Original,,42.06623077392578,1.5112887620925903,63.57421875,0.460625559091568,0.7143157720565796,0.6745046377182007,11.153897285461426,5.198760986328125,3.475043535232544,0.4537566602230072,0.9725655913352966,0.2229189127683639,20.015056610107425,153.6820526123047,0.5767092108726501,,,37.0,25.0,30.0,50.0,
2025-12-17,11:19:36.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:40.484000,9b,Toxicity,Original,,40.156925201416016,1.589492917060852,63.82914733886719,0.3349878191947937,0.3672107756137848,0.7926278114318848,11.153897285461426,3.978395462036133,4.63345193862915,0.540349006652832,0.9537894129753112,0.2573347687721252,25.696666717529297,21.082433700561523,0.7072586417198181,15.055489540100098,,37.0,25.0,30.0,80.0,
2025-12-17,11:19:40.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:44.484000,9b,Toxicity,Original,,127.29159545898438,0.1224564462900161,15.587676048278809,3.203319787979126,3.318727731704712,0.1136408001184463,11.153897285461426,1.6016271114349363,1.3611897230148315,0.1193724274635315,0.3519862592220306,0.0603323243558406,5.222340106964111,216.6118927001953,0.0822593122720718,,,37.0,25.0,30.0,87.5,
2025-12-17,11:19:44.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:48.484000,9b,Toxicity,Original,,201.30735778808597,0.1252509206533432,25.213930130004883,0.5820083022117615,0.6276649236679077,0.5039581656455994,11.153897285461426,1.3376644849777222,1.269437313079834,0.1750256270170211,0.1230260878801345,0.1012367829680442,7.285800933837891,0.0,0.077178344130516,16.851404190063477,11.633893013000488,37.0,25.0,30.0,75.0,
2025-12-17,11:19:48.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:56.484000,9b,Toxicity,Original,,306.4484558105469,0.1103900671005249,33.8288688659668,0.6348102688789368,0.95724356174469,0.4898663461208343,11.153897285461426,1.8610200881958008,1.1972792148590088,0.101888321340084,0.0939031615853309,0.1055881083011627,6.030796051025391,12.025424003601074,0.0489822290837764,14.879948616027832,22.341218948364254,37.0,25.0,30.0,92.85713958740234,
2025-12-17,11:19:56.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:19:58.484000,9b,Toxicity,Original,,162.38699340820312,0.2022465318441391,32.84220886230469,0.5704119205474854,0.91984885931015,0.649217963218689,11.153897285461426,2.3001809120178223,1.372295618057251,0.1600049138069152,0.209482803940773,0.1167699545621872,7.668718338012695,17.72829818725586,0.1118415147066116,10.820881843566896,22.76116180419922,37.0,25.0,30.0,0.0,
2025-12-17,11:20:02.484000,9b,Toxicity,Original,,186.9662322998047,0.1317292749881744,24.62892723083496,0.6859428882598877,0.7917912006378174,0.3111589550971985,11.153897285461426,1.5944747924804688,1.299133062362671,0.134513646364212,0.186399906873703,0.10623549669981,5.833955764770508,0.0,0.1057207658886909,10.37586784362793,15.935026168823242,37.0,25.0,30.0,90.0,
2025-12-17,11:20:02.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:02.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:10.484000,9b,Toxicity,Original,,18.9321403503418,2.383333683013916,45.12160873413086,4.360299110412598,5.728024005889893,0.3886549472808838,11.153897285461426,10.785874366760254,3.739499568939209,0.5602156519889832,2.6089980602264404,0.1933895349502563,37.56373977661133,820.3433227539062,0.4017423391342163,1.9884434938430784,12.248101234436035,37.0,25.0,30.0,90.90908813476562,
2025-12-17,11:20:12.484000,9b,Toxicity,Original,,336.2444763183594,0.1291332095861435,43.42033004760742,0.5177344679832458,0.7086400985717773,0.5119446516036987,11.153897285461426,1.8752989768981931,1.364014983177185,0.1042148172855377,0.0742267742753028,0.1221232935786247,5.127824783325195,0.0,0.044421162456274,16.550403594970703,13.805574417114258,37.0,25.0,30.0,66.66666412353516,
2025-12-17,11:20:14.484000,9b,Toxicity,Original,,88.31645965576172,0.1540476828813552,13.604945182800291,1.692933201789856,3.5588321685791016,0.0982822626829147,11.153897285461426,2.0396807193756104,1.0054417848587036,0.1299371719360351,0.549437940120697,0.0860823616385459,7.914251327514648,393.7515563964844,0.1208491474390029,,18.3612060546875,37.0,25.0,30.0,80.0,
2025-12-17,11:20:14.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:14.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:18.484000,9b,Toxicity,Original,,31.32984161376953,2.47053337097168,77.40142059326172,0.7169109582901001,1.3327689170837402,0.5716663599014282,11.153897285461426,9.44564723968506,4.549262523651123,0.5191879272460938,1.3959190845489502,0.1861777603626251,28.385366439819336,0.0,0.6206920146942139,5.402437210083008,16.800277709960938,37.0,25.0,30.0,80.0,
2025-12-17,11:20:22.484000,9b,Toxicity,Original,,137.888916015625,0.1764701008796692,24.333271026611328,0.2525868713855743,0.3796512186527252,0.833384096622467,11.153897285461426,1.6161497831344604,0.997552454471588,0.2119464725255966,0.2231864035129547,0.0361002497375011,6.709585666656494,6.631303787231445,0.1646134257316589,2.8897993564605717,0.8825370669364929,37.0,25.0,30.0,80.0,
2025-12-17,11:20:24.484000,9b,Toxicity,Original,,181.01104736328125,0.1033890619874,18.714563369750977,0.8792412281036377,1.1907896995544434,0.2273013889789581,11.153897285461426,1.6096153259277344,1.1542153358459473,0.1114992126822471,0.2199722528457641,0.0715587139129638,7.964404106140137,0.0,0.1017756462097168,7.345283508300781,28.35161781311035,37.0,25.0,30.0,83.33333587646484,
2025-12-17,11:20:24.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:24.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:28.484000,9b,Toxicity,Original,,22.52005195617676,2.391672372817993,53.8605842590332,2.067456007003784,3.741331100463867,0.460479199886322,11.153897285461426,12.18281364440918,4.200634002685547,0.4274919629096985,2.236800193786621,0.3137633502483368,40.16762161254883,762.68994140625,0.4916835725307464,1.1073729991912842,8.815446853637695,37.0,25.0,30.0,66.66666412353516,
2025-12-17,11:20:28.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:28.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:38.484000,9b,Toxicity,Original,,26.181398391723636,2.454967737197876,64.27448272705078,0.8434519171714783,1.6840767860412598,0.5191615223884583,11.153897285461426,10.189325332641602,3.8999955654144287,0.5581390261650085,1.7335644960403442,0.2918673455715179,42.14190673828125,0.0,0.6740015149116516,0.7165528535842896,47.15926361083984,37.0,25.0,30.0,85.71428680419922,
2025-12-17,11:20:44.484000,9b,Toxicity,Original,,35.50428009033203,2.4630649089813232,87.44934844970703,0.423976182937622,0.9558228254318236,0.8490541577339172,11.153897285461426,11.662186622619627,4.413208484649658,0.4367778897285461,1.2531591653823853,0.2662242352962494,87.57244873046875,0.0,0.6670900583267212,0.8009107112884521,24.536191940307617,37.0,25.0,30.0,66.66666412353516,
2025-12-17,11:20:44.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:44.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:48.484000,9b,Toxicity,Original,,39.552024841308594,2.519563913345337,99.6538543701172,0.4874894917011261,1.0788425207138062,0.8427532315254211,11.153897285461426,11.771520614624023,4.492874622344971,0.4158366024494171,1.101152777671814,0.1391511112451553,119.62641143798828,0.0,0.5437176823616028,6.225584506988525,40.67097091674805,37.0,25.0,30.0,75.0,
2025-12-17,11:20:50.484000,9b,Toxicity,Original,,28.397306442260746,2.4342103004455566,69.12501525878906,1.6098551750183103,3.101666212081909,0.2148685008287429,11.153897285461426,11.56645679473877,3.633121728897095,0.4839731454849243,1.6289032697677612,0.1653491258621215,152.34002685546875,457.9219665527344,0.4062000215053558,5.343019485473633,65.90835571289062,37.0,25.0,30.0,50.0,
2025-12-17,11:20:52.484000,9b,Toxicity,Original,,30.060457229614254,2.362879514694214,71.02924346923828,1.6938711404800415,2.786553144454956,0.399914026260376,11.153897285461426,10.908531188964844,5.028125762939453,0.3656271696090698,1.6303504705429075,0.4398296475410461,28.69266891479492,651.5017700195312,0.4373468458652496,5.282220363616943,37.434043884277344,37.0,25.0,30.0,50.0,
2025-12-17,11:20:52.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:56.484000,9b,Toxicity,Original,,24.67398834228516,2.288935661315918,56.477169036865234,4.043138027191162,7.697543144226074,0.2804482877254486,11.153897285461426,11.687725067138672,3.502758502960205,0.363593190908432,2.068117618560791,0.3067709803581238,28.542377471923828,1204.762939453125,0.2420485168695449,1.5299315452575684,38.34910202026367,37.0,25.0,30.0,0.0,
2025-12-17,11:20:56.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:20:58.484000,9b,Toxicity,Original,,45.80443572998047,2.228566646575928,100.37287902832033,1.0966877937316897,2.003535747528076,0.3807841837406158,11.153897285461426,11.650815963745115,4.575863838195801,0.3441225290298462,1.0970213413238523,0.3825507760047912,33.704185485839844,45.32379150390625,0.3608242273330688,5.691161155700684,33.467159271240234,37.0,25.0,30.0,0.0,
2025-12-17,11:21:00.484000,9b,Toxicity,Original,,49.10443115234375,2.2138707637786865,108.71086120605467,1.497584342956543,1.924873232841492,0.2792564034461975,11.153897285461426,10.82500171661377,6.284327030181885,0.3624604642391205,0.8594251871109009,0.3190436363220215,14.66791534423828,0.0,0.3005922436714172,3.795992612838745,42.239234924316406,37.0,25.0,30.0,66.66666412353516,
2025-12-17,11:21:02.484000,9b,Toxicity,Original,,49.88963317871094,2.097592353820801,104.9355010986328,1.0589275360107422,1.635817289352417,0.2377974092960357,11.153897285461426,10.688682556152344,4.925232887268066,0.4554405212402344,0.7498428821563721,0.3401924967765808,17.594303131103516,0.0,0.2923191785812378,4.079739093780518,34.22053527832031,37.0,25.0,30.0,0.0,
2025-12-17,11:21:02.484000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,11:21:06.484000,9b,Toxicity,Original,,44.56871032714844,2.026607036590576,89.66486358642578,1.3419501781463623,2.026564598083496,0.3345610499382019,11.153897285461426,10.837286949157717,5.985295295715332,0.3702287673950195,0.9893141388893129,0.4490697979927063,27.726470947265625,172.49826049804688,0.3342416286468506,8.72201156616211,39.01271438598633,37.0,25.0,30.0,33.33333206176758,
2025-12-17,11:21:08.484000,9b,Toxicity,Original,,48.928688049316406,1.998779892921448,97.73414611816406,1.1893690824508667,1.4662281274795532,0.4232828617095947,11.153897285461426,9.245100021362305,5.19838285446167,0.4968875050544739,0.7296580076217651,0.3506782650947571,73.68486022949219,76.00841522216797,0.3407896757125854,6.485211849212647,31.98587417602539,37.0,25.0,30.0,0.0,
2025-12-17,11:21:08.484000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
