Parameter,A vs B,A vs C,A vs D,A vs E,B vs C,B vs D,B vs E,C vs D,C vs E,D vs E
BFCF,,,,,,,,,,
Comp,,,,,,,,,,
EEP,1.0,1.0,1.0,1.0,1.0,0.413728,1.0,1.0,1.0,1.0
EF50,1.0,0.002353,0.044615,0.004049,0.044698,0.38289,0.084955,1.0,1.0,0.812586
EIP,1.0,1.0,1.0,0.127594,1.0,1.0,0.999225,1.0,0.067859,0.216074
MVb,1.0,0.009319,0.0278,0.042804,0.050373,0.144489,0.276693,1.0,1.0,1.0
PAU,1.0,0.144216,0.523122,0.154735,0.189376,0.885602,0.323171,1.0,1.0,1.0
PEFb,1.0,0.003315,0.069641,0.027496,0.053326,0.52428,0.236534,1.0,1.0,1.0
PIFb,1.0,0.030098,1.0,1.0,0.478998,1.0,1.0,1.0,0.551774,1.0
Penh,1.0,0.284723,0.556008,1.0,0.363771,1.0,1.0,1.0,1.0,1.0
RH,,,,,,,,,,
Rinx,1.0,1.0,0.156087,4.5e-05,0.38132,0.025507,1e-06,1.0,0.024714,0.10167
Rpef,1.0,0.011347,1.0,1.0,0.039821,1.0,1.0,0.445865,0.159602,1.0
TB,1.0,1.0,0.101941,1.0,1.0,0.070191,1.0,1.0,1.0,0.774607
TP,1.0,0.068277,0.04801,0.041585,1.0,0.917924,0.704609,1.0,1.0,1.0
TVb,0.616624,4.1e-05,1.0,1.0,0.283079,1.0,1.0,0.110015,0.339483,1.0
Tbody,,,,,,,,,,
Tc,,,,,,,,,,
Te,1.0,1.0,1.0,1.0,0.587848,0.155754,0.022972,1.0,0.981099,1.0
Ti,0.036225,0.478898,1.0,1.0,1.0,0.100755,1.0,1.0,1.0,1.0
Tr,0.308126,0.256284,1.0,1.0,1.0,0.235572,0.273317,0.195129,0.197141,1.0
f,0.231065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
