Parameter,A vs B,A vs C,A vs D,A vs E,B vs C,B vs D,B vs E,C vs D,C vs E,D vs E
BFCF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Comp,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
EEP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
EF50,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
EIP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
MVb,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO
PAU,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PEFb,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO
PIFb,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Penh,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
RH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Rinx,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO
Rpef,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
TB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
TP,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
TVb,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Tbody,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tc,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Te,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Ti,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tr,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
f,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
