Parameter,Comparison,Group1,Group2,N_Group1,N_Group2,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,t_statistic,p_value_raw,p_value_corrected,Significance,Is_Significant,ANOVA_F,ANOVA_p,ANOVA_Significant
f,A vs B,A,B,28,28,76.1617,91.9825,23.185,27.2813,-2.3383,0.023107,0.231065,ns,NO,0.8785,0.478872,NO
f,A vs C,A,C,28,32,76.1617,83.634,23.185,37.7289,-0.9081,0.36757,1.0,ns,NO,0.8785,0.478872,NO
f,A vs D,A,D,28,32,76.1617,78.3316,23.185,38.8874,-0.2577,0.797526,1.0,ns,NO,0.8785,0.478872,NO
f,A vs E,A,E,28,12,76.1617,84.733,23.185,51.9497,-0.7284,0.470838,1.0,ns,NO,0.8785,0.478872,NO
f,B vs C,B,C,28,32,91.9825,83.634,27.2813,37.7289,0.9695,0.336314,1.0,ns,NO,0.8785,0.478872,NO
f,B vs D,B,D,28,32,91.9825,78.3316,27.2813,38.8874,1.5524,0.126009,1.0,ns,NO,0.8785,0.478872,NO
f,B vs E,B,E,28,12,91.9825,84.733,27.2813,51.9497,0.5805,0.565003,1.0,ns,NO,0.8785,0.478872,NO
f,C vs D,C,D,32,32,83.634,78.3316,37.7289,38.8874,0.5536,0.581844,1.0,ns,NO,0.8785,0.478872,NO
f,C vs E,C,E,32,12,83.634,84.733,37.7289,51.9497,-0.0774,0.938638,1.0,ns,NO,0.8785,0.478872,NO
f,D vs E,D,E,32,12,78.3316,84.733,38.8874,51.9497,-0.4429,0.660097,1.0,ns,NO,0.8785,0.478872,NO
TVb,A vs B,A,B,28,28,2.4,2.0632,0.4389,0.8242,1.9084,0.061662,0.616624,ns,NO,3.656,0.007459,YES
TVb,A vs C,A,C,28,32,2.4,1.6215,0.4389,0.697,5.0901,4e-06,4.1e-05,***,YES,3.656,0.007459,YES
TVb,A vs D,A,D,28,32,2.4,2.1681,0.4389,0.9516,1.183,0.241651,1.0,ns,NO,3.656,0.007459,YES
TVb,A vs E,A,E,28,12,2.4,2.3693,0.4389,1.5837,0.0958,0.924212,1.0,ns,NO,3.656,0.007459,YES
TVb,B vs C,B,C,28,32,2.0632,1.6215,0.8242,0.697,2.2493,0.028308,0.283079,ns,NO,3.656,0.007459,YES
TVb,B vs D,B,D,28,32,2.0632,2.1681,0.8242,0.9516,-0.4532,0.652099,1.0,ns,NO,3.656,0.007459,YES
TVb,B vs E,B,E,28,12,2.0632,2.3693,0.8242,1.5837,-0.8069,0.424735,1.0,ns,NO,3.656,0.007459,YES
TVb,C vs D,C,D,32,32,1.6215,2.1681,0.697,0.9516,-2.6214,0.011001,0.110015,ns,NO,3.656,0.007459,YES
TVb,C vs E,C,E,32,12,1.6215,2.3693,0.697,1.5837,-2.1923,0.033948,0.339483,ns,NO,3.656,0.007459,YES
TVb,D vs E,D,E,32,12,2.1681,2.3693,0.9516,1.5837,-0.5163,0.608386,1.0,ns,NO,3.656,0.007459,YES
MVb,A vs B,A,B,28,28,182.7432,183.4496,61.0854,88.5817,-0.0347,0.972417,1.0,ns,NO,5.3965,0.000479,YES
MVb,A vs C,A,C,28,32,182.7432,124.9294,61.0854,66.4878,3.4892,0.000932,0.009319,**,YES,5.3965,0.000479,YES
MVb,A vs D,A,D,28,32,182.7432,136.3714,61.0854,53.8899,3.1245,0.00278,0.0278,*,YES,5.3965,0.000479,YES
MVb,A vs E,A,E,28,12,182.7432,119.3792,61.0854,58.7945,3.0389,0.00428,0.042804,*,YES,5.3965,0.000479,YES
MVb,B vs C,B,C,28,32,183.4496,124.9294,88.5817,66.4878,2.9157,0.005037,0.050373,ns,NO,5.3965,0.000479,YES
MVb,B vs D,B,D,28,32,183.4496,136.3714,88.5817,53.8899,2.5217,0.014449,0.144489,ns,NO,5.3965,0.000479,YES
MVb,B vs E,B,E,28,12,183.4496,119.3792,88.5817,58.7945,2.2899,0.027669,0.276693,ns,NO,5.3965,0.000479,YES
MVb,C vs D,C,D,32,32,124.9294,136.3714,66.4878,53.8899,-0.7563,0.452345,1.0,ns,NO,5.3965,0.000479,YES
MVb,C vs E,C,E,32,12,124.9294,119.3792,66.4878,58.7945,0.254,0.800762,1.0,ns,NO,5.3965,0.000479,YES
MVb,D vs E,D,E,32,12,136.3714,119.3792,53.8899,58.7945,0.9091,0.368475,1.0,ns,NO,5.3965,0.000479,YES
Penh,A vs B,A,B,28,28,0.9816,1.0077,0.4745,0.531,-0.1939,0.846983,1.0,ns,NO,2.6404,0.036812,YES
Penh,A vs C,A,C,28,32,0.9816,1.6744,0.4745,1.5685,-2.2468,0.028472,0.284723,ns,NO,2.6404,0.036812,YES
Penh,A vs D,A,D,28,32,0.9816,1.2271,0.4745,0.4951,-1.9534,0.055601,0.556008,ns,NO,2.6404,0.036812,YES
Penh,A vs E,A,E,28,12,0.9816,1.3281,0.4745,1.2367,-1.2936,0.203613,1.0,ns,NO,2.6404,0.036812,YES
Penh,B vs C,B,C,28,32,1.0077,1.6744,0.531,1.5685,-2.1423,0.036377,0.363771,ns,NO,2.6404,0.036812,YES
Penh,B vs D,B,D,28,32,1.0077,1.2271,0.531,0.4951,-1.6553,0.103257,1.0,ns,NO,2.6404,0.036812,YES
Penh,B vs E,B,E,28,12,1.0077,1.3281,0.531,1.2367,-1.158,0.254089,1.0,ns,NO,2.6404,0.036812,YES
Penh,C vs D,C,D,32,32,1.6744,1.2271,1.5685,0.4951,1.5384,0.129036,1.0,ns,NO,2.6404,0.036812,YES
Penh,C vs E,C,E,32,12,1.6744,1.3281,1.5685,1.2367,0.6871,0.495771,1.0,ns,NO,2.6404,0.036812,YES
Penh,D vs E,D,E,32,12,1.2271,1.3281,0.4951,1.2367,-0.3914,0.697491,1.0,ns,NO,2.6404,0.036812,YES
PAU,A vs B,A,B,28,28,1.0351,1.0482,0.4001,0.5402,-0.1029,0.918437,1.0,ns,NO,3.4334,0.010603,YES
PAU,A vs C,A,C,28,32,1.0351,1.7459,0.4001,1.4419,-2.5224,0.014422,0.144216,ns,NO,3.4334,0.010603,YES
PAU,A vs D,A,D,28,32,1.0351,1.3244,0.4001,0.6753,-1.9812,0.052312,0.523122,ns,NO,3.4334,0.010603,YES
PAU,A vs E,A,E,28,12,1.0351,1.5811,0.4001,0.976,-2.5352,0.015474,0.154735,ns,NO,3.4334,0.010603,YES
PAU,B vs C,B,C,28,32,1.0482,1.7459,0.5402,1.4419,-2.4144,0.018938,0.189376,ns,NO,3.4334,0.010603,YES
PAU,B vs D,B,D,28,32,1.0482,1.3244,0.5402,0.6753,-1.7322,0.08856,0.885602,ns,NO,3.4334,0.010603,YES
PAU,B vs E,B,E,28,12,1.0482,1.5811,0.5402,0.976,-2.2219,0.032317,0.323171,ns,NO,3.4334,0.010603,YES
PAU,C vs D,C,D,32,32,1.7459,1.3244,1.4419,0.6753,1.4977,0.139276,1.0,ns,NO,3.4334,0.010603,YES
PAU,C vs E,C,E,32,12,1.7459,1.5811,1.4419,0.976,0.3646,0.717239,1.0,ns,NO,3.4334,0.010603,YES
PAU,D vs E,D,E,32,12,1.3244,1.5811,0.6753,0.976,-0.9906,0.327542,1.0,ns,NO,3.4334,0.010603,YES
Rpef,A vs B,A,B,28,28,0.4448,0.4369,0.1676,0.189,0.1657,0.868993,1.0,ns,NO,3.2428,0.014321,YES
Rpef,A vs C,A,C,28,32,0.4448,0.3107,0.1676,0.1354,3.4251,0.001135,0.011347,*,YES,3.2428,0.014321,YES
Rpef,A vs D,A,D,28,32,0.4448,0.3895,0.1676,0.17,1.2656,0.21072,1.0,ns,NO,3.2428,0.014321,YES
Rpef,A vs E,A,E,28,12,0.4448,0.4489,0.1676,0.2217,-0.0639,0.949413,1.0,ns,NO,3.2428,0.014321,YES
Rpef,B vs C,B,C,28,32,0.4369,0.3107,0.189,0.1354,2.9993,0.003982,0.039821,*,YES,3.2428,0.014321,YES
